Id,Name,DOB
Lopezbr01,Brook Lopez,4/1/1988
Brownbr01,Bruce Brown,8/15/1996
Cabocbr01,Bruno Caboclo,9/21/1995
Cottobr01,Bryce Cotton,8/11/1992
Dejeabr01,Bryce Dejean-Jones,8/21/1992
Forbebr01,Bryn Forbes,7/23/1993
Milescj01,C.J. Miles,3/18/1987
Watsocj01,C.J. Watson,4/17/1984
Wilcocj01,C.J. Wilcox,12/30/1990
Willicj01,C.J. Williams,2/6/1990
Swanica01,Caleb Swanigan,4/18/1997
Bairsca01,Cameron Bairstow,12/7/1990
Payneca01,Cameron Payne,8/8/1994
Leverca01,Caris LeVert,8/25/1994
Landrca01,Carl Landry,9/19/1983
Arroyca01,Carlos Arroyo,7/30/1979
Boozeca01,Carlos Boozer,11/20/1981
Delfica01,Carlos Delfino,8/29/1982
Anthoca01,Carmelo Anthony,5/29/1984
Butleca01,Caron Butler,3/13/1980
Felixca01,Carrick Felix,8/17/1990
Martica01,Cartier Martin,11/20/1984
Wareca01,Casper Ware,1/17/1990
Osmande01,Cedi Osman,4/8/1995
Hutchch01,Chandler Hutchison,4/26/1996
Parsoch01,Chandler Parsons,10/25/1988
Fryech01,Channing Frye,5/17/1983
Cookech01,Charles Cooke,7/1/1994
Jenkich01,Charles Jenkins,2/28/1989
Bellch01,Charlie Bell,3/12/1979
Villach01,Charlie Villanueva,8/24/1984
Budinch01,Chase Budinger,5/22/1988
Randlch01,Chasson Randle,2/5/1993
Billuch01,Chauncey Billups,9/25/1976
Diallch01,Cheick Diallo,9/13/1996
Metuch01,Chimezie Metu,3/22/1997
Onuakch01,Chinanu Onuaku,11/1/1996
Anderch01,Chris Andersen,7/7/1978
Babbch01,Chris Babb,2/14/1990
Boshch01,Chris Bosh,3/24/1984
Bouchch01,Chris Boucher,1/11/1993
Chiozch01,Chris Chiozza,11/25/1995
Copelch01,Chris Copeland,3/17/1984
Douglch01,Chris Douglas-Roberts,1/8/1987
Duhonch01,Chris Duhon,8/31/1982
Johnsch03,Chris Johnson,7/15/1985
Kamanch01,Chris Kaman,4/28/1982
Mcculch01,Chris McCullough,2/5/1995
Paulch01,Chris Paul,5/6/1985
Singlch01,Chris Singleton,11/21/1989
Smithch05,Chris Smith,10/13/1987
Webbech01,Chris Webber,3/1/1973
Wilcoch01,Chris Wilcox,9/3/1982
Wrighch01,Chris Wright,9/30/1988
Eyengch01,Christian Eyenga,6/22/1989
Woodch01,Christian Wood,9/27/1995
Hayesch01,Chuck Hayes,6/11/1983
Atkinch01,Chucky Atkins,8/14/1974
Earlycl01,Cleanthony Early,4/17/1991
Alexacl01,Cliff Alexander,11/16/1995
Capelca01,Clint Capela,5/18/1994
Zelleco01,Cody Zeller,10/5/1992
Aldrico01,Cole Aldrich,10/31/1988
Sextoco01,Collin Sexton,1/4/1999
Breweco01,Corey Brewer,3/5/1986
Maggeco01,Corey Maggette,11/12/1979
Higgico01,Cory Higgins,6/14/1989
Jeffeco01,Cory Jefferson,12/26/1990
Josepco01,Cory Joseph,8/20/1991
Clarkco01,Coty Clarke,7/4/1992
Fortsco01,Courtney Fortson,5/23/1988
Leeco01,Courtney Lee,10/3/1985
Russeda01,D'Angelo Russell,2/23/1996
Stephdj01,D.J. Stephens,12/19/1990
Whitedj01,D.J. White,8/31/1986
Cookda02,Daequan Cook,4/28/1987
Jonesda02,Dahntay Jones,12/27/1980
Bertada02,Dairis Bertans,9/9/1989
Summeda01,DaJuan Summers,1/24/1988
Johnsda04,Dakari Johnson,9/22/1995
Jonesda03,Damian Jones,6/30/1995
Lillada01,Damian Lillard,7/15/1990
Inglida01,Damien Inglis,5/20/1995
Wilkida02,Damien Wilkins,1/11/1980
Jamesda01,Damion James,10/7/1987
Leeda03,Damion Lee,10/21/1992
Dotsoda01,Damyean Dotson,5/6/1994
Gadzuda01,Dan Gadzuric,2/2/1978
Gibsoda01,Daniel Gibson,2/27/1986
Hamilda02,Daniel Hamilton,8/8/1995
Ochefda01,Daniel Ochefu,12/15/1993
Ortonda01,Daniel Orton,8/6/1990
Theisda01,Daniel Theis,4/4/1992
Gallida01,Danilo Gallinari,8/8/1988
Grangda01,Danny Granger,4/20/1983
Greenda02,Danny Green,6/22/1987
Cunnida01,Dante Cunningham,4/22/1987
Exumda01,Dante Exum,7/13/1995
Houseda01,Danuel House,6/7/1993
Johnsda03,Darius Johnson-Odom,9/28/1989
Milleda01,Darius Miller,3/21/1990
Morrida01,Darius Morris,1/3/1991
Milicda01,Darko Milicic,6/20/1985
Arthuda01,Darrell Arthur,3/25/1988
Collida01,Darren Collison,8/23/1987
Maconda01,Daryl Macon,11/29/1995
Anderda03,David Andersen,6/23/1980
Leeda02,David Lee,4/29/1983
Nwabada01,David Nwaba,1/14/1993
Robinda01,David Robinson,8/6/1965
Stockda01,David Stockton,6/24/1991
Wearda01,David Wear,9/21/1990
Westda01,David West,8/29/1980
Bertada01,Davis Bertans,11/12/1992
Reedda01,Davon Reed,6/11/1995
Foxde01,De'Aaron Fox,12/20/1997
Meltode01,De'Anthony Melton,5/28/1998
Bembrde01,DeAndre' Bembry,7/4/1994
Aytonde01,Deandre Ayton,7/23/1998
Jordade01,DeAndre Jordan,7/21/1988
Liggide01,DeAndre Liggins,3/31/1988
Murrade01,Dejounte Murray,9/19/1996
Wrighde01,Delon Wright,4/26/1992
Derozde01,DeMar DeRozan,8/7/1989
Couside01,DeMarcus Cousins,8/13/1990
Carrode01,DeMarre Carroll,7/27/1986
Jacksde01,Demetrius Jackson,9/7/1994
Schrode01,Dennis Schrder,9/15/1993
Valende01,Denzel Valentine,11/16/1993
Burtode02,Deonte Burton,1/31/1994
Jonesde01,DeQuan Jones,6/20/1990
Fishede01,Derek Fisher,8/9/1974
Willide01,Deron Williams,6/26/1984
Brownde04,Derrick Brown,9/8/1987
Favorde01,Derrick Favors,7/15/1991
Rosede01,Derrick Rose,10/4/1988
Whitede01,Derrick White,7/2/1994
Willide02,Derrick Williams,5/25/1991
Diopde01,DeSagana Diop,1/30/1982
Stevede01,DeShawn Stevenson,4/3/1981
Bookede01,Devin Booker,10/30/1996
Ebankde01,Devin Ebanks,10/28/1989
Harride01,Devin Harris,2/27/1983
Robinde01,Devin Robinson,3/7/1995
Grahade01,Devonte' Graham,2/22/1995
Dedmode01,Dewayne Dedmon,8/12/1989
Pittmde01,Dexter Pittman,3/2/1988
Davisde01,Deyonta Davis,12/2/1996
Stonedi01,Diamond Stone,2/10/1997
Mutomdi01,Dikembe Mutombo,6/25/1966
Brookdi01,Dillon Brooks,1/22/1996
Waitedi01,Dion Waiters,12/10/1991
Chrisdi01,Dionte Christmas,9/15/1986
Nowitdi01,Dirk Nowitzki,6/19/1978
Sabondo01,Domantas Sabonis,5/3/1996
Mcguido01,Dominic McGuire,10/20/1985
Jonesdo02,Dominique Jones,10/15/1988
Sloando01,Donald Sloan,1/15/1988
Motiedo01,Donatas Motiejunas,9/20/1990
Mitchdo01,Donovan Mitchell,9/7/1996
Divindo01,Donte DiVincenzo,1/31/1997
Grantdo01,Donte Grantham,3/19/1995
Wrighdo01,Dorell Wright,12/2/1985
Finnedo01,Dorian Finney-Smith,5/4/1993
Mcderdo01,Doug McDermott,1/3/1992
Bendedr01,Dragan Bender,11/17/1997
Greendr01,Draymond Green,3/4/1990
Eubandr01,Drew Eubanks,2/1/1997
Goodedr01,Drew Gooden,9/24/1981
Gordodr01,Drew Gordon,7/12/1990
Dukandu01,Duje Dukan,12/4/1991
Robindu01,Duncan Robinson,4/22/1994
Hannadu01,Dusty Hannahs,9/2/1993
Bacondw01,Dwayne Bacon,8/30/1995
Jonesdw02,Dwayne Jones,6/9/1983
Buyckdw01,Dwight Buycks,3/6/1989
Howardw01,Dwight Howard,12/8/1985
Poweldw01,Dwight Powell,7/20/1991
Wadedw01,Dwyane Wade,1/17/1982
Mooreet01,E'Twaun Moore,2/25/1989
Barroea01,Earl Barron,8/14/1981
Boykiea01,Earl Boykins,6/2/1976
Clarkea01,Earl Clark,1/17/1988
Watsoea01,Earl Watson,6/12/1979
Davised01,Ed Davis,6/5/1989
Sumneed01,Edmond Sumner,12/31/1995
Udohek01,Ekpe Udoh,5/20/1987
Paytoel01,Elfrid Payton,2/22/1994
Harriel01,Elias Harris,7/6/1989
Okoboel01,lie Okobo,10/23/1997
Millsel01,Elijah Millsap,8/12/1987
Williel01,Elliot Williams,6/20/1989
Brandel01,Elton Brand,3/11/1979
Okafoem01,Emeka Okafor,9/28/1982
Mudiaem01,Emmanuel Mudiay,3/5/1996
Kanteen01,Enes Kanter,5/20/1992
Bledser01,Eric Bledsoe,12/9/1989
Dawsoer01,Eric Dawson,7/7/1984
Gordoer01,Eric Gordon,12/25/1988
Maynoer01,Eric Maynor,6/11/1987
Moreler01,Eric Moreland,12/24/1991
Greener01,Erick Green,5/9/1991
Murpher01,Erik Murphy,10/26/1990
Ilyaser01,Ersan Ilyasova,5/15/1987
Fournev01,Evan Fournier,10/29/1992
Turneev01,Evan Turner,10/27/1988
Melofa01,Fab Melo,6/20/1990
Ezelife01,Festus Ezeli,10/21/1989
Jacksfr01,Frank Jackson,5/4/1998
Kaminfr01,Frank Kaminsky,4/4/1993
Ntilila01,Frank Ntilikina,7/28/1998
Vanvlfr01,Fred VanVleet,2/25/1994
Aldemfu01,Furkan Aldemir,8/9/1991
Korkmfu01,Furkan Korkmaz,7/24/1997
Mekelga01,Gal Mekel,3/4/1988
Templga01,Garrett Temple,5/8/1986
Clarkga01,Gary Clark,11/16/1994
Forbega01,Gary Forbes,2/25/1985
Harriga01,Gary Harris,9/14/1994
Nealga01,Gary Neal,10/3/1984
Paytoga01,Gary Payton,7/23/1968
Hillge01,George Hill,5/4/1986
Kingge03,George King,1/15/1994
Niangge01,Georges Niang,6/17/1993
Papagge01,Georgios Papagiannis,7/3/1997
Greenge01,Gerald Green,1/26/1986
Hendege02,Gerald Henderson,12/9/1987
Wallage01,Gerald Wallace,7/23/1982
Clavegi01,Gian Clavell,11/26/1993
Antetgi01,Giannis Antetokounmpo,12/6/1994
Arenagi01,Gilbert Arenas,1/6/1982
Davisgl01,Glen Davis,1/1/1986
Dragigo01,Goran Dragic,5/6/1986
Haywago01,Gordon Hayward,3/23/1990
Dienggo01,Gorgui Dieng,1/18/1990
Hillgr01,Grant Hill,10/5/1972
Jerregr01,Grant Jerrett,7/8/1993
Allengr01,Grayson Allen,10/8/1995
Monrogr01,Greg Monroe,6/4/1990
Odengr01,Greg Oden,1/22/1988
Smithgr02,Greg Smith,1/8/1991
Stiemgr01,Greg Stiemsma,9/26/1985
Yabusgu01,Guerschon Yabusele,12/17/1995
Olajuha01,Hakeem Olajuwon,1/21/1963
Warriha01,Hakim Warrick,7/8/1982
Ndiayha01,Hamady N'Diaye,1/12/1987
Haddaha01,Hamed Haddadi,5/19/1985
Diallha01,Hamidou Diallo,7/31/1998
Barneha02,Harrison Barnes,5/30/1992
Gilesha01,Harry Giles,4/22/1998
Thabeha01,Hasheem Thabeet,2/16/1987
Whiteha01,Hassan Whiteside,6/13/1989
Highsha01,Haywood Highsmith,12/9/1996
Ellenhe01,Henry Ellenson,1/13/1997
Simshe01,Henry Sims,3/27/1990
Walkebi01,Henry Walker,10/9/1987
Armsthi01,Hilton Armstrong,11/11/1984
Thompho01,Hollis Thompson,4/3/1991
Clarkia01,Ian Clark,3/7/1991
Anigbik01,Ike Anigbogu,10/17/1998
Dioguik01,Ike Diogu,9/11/1983
Shumpim01,Iman Shumpert,6/26/1990
Humphis01,Isaac Humphries,1/5/1998
Briscis01,Isaiah Briscoe,4/13/1996
Canaais01,Isaiah Canaan,5/21/1991
Harteis01,Isaiah Hartenstein,5/5/1998
Hicksis01,Isaiah Hicks,7/24/1994
Taylois01,Isaiah Taylor,7/11/1994
Thomais02,Isaiah Thomas,2/7/1989
Whiteis01,Isaiah Whitehead,3/8/1995
Johnsiv01,Ivan Johnson,4/10/1984
Rabbiv01,Ivan Rabb,2/4/1997
Zubaciv01,Ivica Zubac,3/18/1997
Obriejj01,J.J. O'Brien,4/8/1992
Redicjj01,J.J. Redick,6/24/1984
Macurjp01,J.P. Macura,6/5/1995
Smithjr01,J.R. Smith,9/9/1985
Birdja01,Jabari Bird,7/3/1994
Brownja01,Jabari Brown,12/18/1992
Parkeja01,Jabari Parker,3/15/1995
Cooleja01,Jack Cooley,4/4/1991
Evansja02,Jacob Evans,6/18/1997
Crowdja01,Jae Crowder,7/6/1990
Okafoja01,Jahlil Okafor,12/15/1995
Johnsja02,JaJuan Johnson,2/8/1989
Sampsja02,JaKarr Sampson,3/20/1993
Laymaja01,Jake Layman,3/7/1994
Brunsja01,Jalen Brunson,8/31/1996
Jonesja04,Jalen Jones,5/27/1993
Roseja01,Jalen Rose,1/30/1973
Frankja01,Jamaal Franklin,7/21/1991
Tinslja01,Jamaal Tinsley,2/28/1978
Crawfja01,Jamal Crawford,3/20/1980
Mashbja01,Jamal Mashburn,11/29/1972
Murraja01,Jamal Murray,2/23/1997
Warneja01,Jameel Warney,1/31/1994
Nelsoja01,Jameer Nelson,2/9/1982
Artisja01,Jamel Artis,1/12/1993
Anderja01,James Anderson,3/25/1989
Ennisja01,James Ennis,7/1/1990
Hardeja01,James Harden,8/26/1989
Johnsja01,James Johnson,2/20/1987
Jonesja02,James Jones,10/4/1980
Nunnaja01,James Nunnally,7/14/1990
Southja01,James Southerland,4/28/1990
Whiteja02,James White,10/21/1982
Youngja01,James Young,8/16/1995
Wilsoja02,Jamil Wilson,11/21/1990
Greenja01,JaMychal Green,6/21/1990
Pargoja01,Jannero Pargo,10/22/1979
Cunnija01,Jared Cunningham,5/22/1991
Dudleja01,Jared Dudley,7/10/1985
Jeffrja01,Jared Jeffries,11/25/1981
Sullija01,Jared Sullinger,3/4/1992
Eddieja01,Jarell Eddie,10/30/1991
Martija01,Jarell Martin,5/24/1994
Stokeja01,Jarnell Stokes,1/7/1994
Blossja01,Jaron Blossomgame,9/16/1993
Vandeja01,Jarred Vanderbilt,4/3/1999
Allenja01,Jarrett Allen,4/21/1998
Jackja01,Jarrett Jack,10/28/1983
Uthofja01,Jarrod Uthoff,5/19/1993
Varnaja01,Jarvis Varnado,3/1/1988
Kiddja01,Jason Kidd,3/23/1973
Maxieja01,Jason Maxiell,2/18/1983
Richaja01,Jason Richardson,1/20/1981
Smithja02,Jason Smith,3/2/1986
Terryja01,Jason Terry,9/15/1977
Thompja02,Jason Thompson,7/21/1986
Mcgeeja01,JaVale McGee,1/19/1988
Evansja01,Jawun Evans,7/26/1996
Adamsja01,Jaylen Adams,5/4/1996
Brownja02,Jaylen Brown,10/24/1996
Morrija01,Jaylen Morris,9/19/1995
Tatumja01,Jayson Tatum,3/3/1998
Adrieje01,Jeff Adrien,2/10/1986
Pendeje02,Jeff Ayres,4/29/1987
Greenje02,Jeff Green,8/28/1986
Teaguje01,Jeff Teague,6/10/1988
Witheje01,Jeff Withey,3/7/1990
Grantje01,Jerami Grant,3/12/1994
Mcneaje01,Jerel McNeal,6/1/1987
Evansje01,Jeremy Evans,10/24/1987
Lambje01,Jeremy Lamb,5/30/1992
Linje01,Jeremy Lin,8/23/1988
Tylerje01,Jeremy Tyler,6/21/1991
Grantje02,Jerian Grant,10/9/1992
Onealje01,Jermaine O'Neal,10/13/1978
Tayloje02,Jermaine Taylor,12/8/1986
Jordaje01,Jerome Jordan,9/29/1986
Robinje01,Jerome Robinson,2/22/1997
Benimje01,Jerrelle Benimon,8/1/1991
Bayleje01,Jerryd Bayless,8/20/1988
Carteje01,Jevon Carter,9/14/1995
Fredeji01,Jimmer Fredette,2/25/1989
Butleji01,Jimmy Butler,9/14/1989
Noahjo01,Joakim Noah,2/25/1985
Meeksjo01,Jodie Meeks,8/21/1987
Alexajo01,Joe Alexander,12/26/1986
Chealjo01,Joe Chealey,11/1/1995
Harrijo01,Joe Harris,9/6/1991
Inglejo01,Joe Ingles,10/2/1987
Johnsjo02,Joe Johnson,6/29/1981
Anthojo01,Joel Anthony,8/9/1982
Bolomjo01,Joel Bolomboy,1/28/1994
Embiijo01,Joel Embiid,3/16/1994
Freeljo01,Joel Freeland,2/7/1987
Przybjo01,Joel Przybilla,10/10/1979
Dorsejo01,Joey Dorsey,12/16/1983
Lauvejo01,Joffrey Lauvergne,9/30/1991
Petrojo01,Johan Petro,1/27/1986
Collijo01,John Collins,9/23/1997
Hensojo01,John Henson,12/28/1990
Jenkijo01,John Jenkins,3/6/1991
Lucasjo02,John Lucas III,11/21/1982
Salmojo01,John Salmons,12/12/1979
Walljo01,John Wall,9/6/1990
Motlejo01,Johnathan Motley,5/4/1995
Willijo04,Johnathan Williams,5/22/1995
Obryajo01,Johnny O'Bryant,6/1/1993
Leuerjo01,Jon Leuer,5/14/1989
Boldejo01,Jonah Bolden,1/2/1996
Jerebjo01,Jonas Jerebko,3/2/1987
Valanjo01,Jonas Valanciunas,5/6/1992
Isaacjo01,Jonathan Isaac,10/3/1997
Simmojo02,Jonathon Simmons,9/14/1989
Adamsjo01,Jordan Adams,7/8/1994
Belljo01,Jordan Bell,1/7/1995
Clarkjo01,Jordan Clarkson,6/7/1992
Crawfjo02,Jordan Crawford,10/23/1988
Farmajo01,Jordan Farmar,11/30/1986
Hamiljo02,Jordan Hamilton,10/6/1990
Hilljo01,Jordan Hill,7/27/1987
Loydjo01,Jordan Loyd,7/27/1993
Mcraejo01,Jordan McRae,3/28/1991
Mickejo01,Jordan Mickey,7/9/1994
Siberjo01,Jordan Sibert,8/1/1992
Akognjo01,Josh Akognon,2/10/1986
Childjo01,Josh Childress,6/20/1983
Harrejo01,Josh Harrellson,2/12/1989
Hartjo01,Josh Hart,3/6/1995
Howarjo01,Josh Howard,4/28/1980
Huestjo01,Josh Huestis,12/19/1991
Jacksjo02,Josh Jackson,2/10/1997
Mcrobjo01,Josh McRoberts,2/28/1987
Okogijo01,Josh Okogie,9/1/1998
Poweljo01,Josh Powell,1/25/1983
Richajo01,Josh Richardson,9/15/1993
Selbyjo01,Josh Selby,3/27/1991
Smithjo03,Josh Smith,12/5/1985
Holidjr01,Jrue Holiday,6/12/1990
Washbju01,Julian Washburn,12/18/1991
Randlju01,Julius Randle,11/29/1994
Stoneju01,Julyan Stone,12/7/1988
Anderju01,Justin Anderson,11/19/1993
Hamilju01,Justin Hamilton,4/1/1990
Harpeju01,Justin Harper,8/30/1989
Holidju01,Justin Holiday,4/5/1989
Jacksju01,Justin Jackson,3/28/1995
Pattoju01,Justin Patton,6/14/1997
Winslju01,Justise Winslow,3/26/1996
Nurkiju01,Jusuf Nurkic,8/23/1994
Howarju01,Juwan Howard,2/7/1973
Mcdankj01,K.J. McDaniels,2/9/1993
Allenka01,Kadeem Allen,1/15/1993
Lucaska01,Kalin Lucas,5/24/1989
Townska01,Karl-Anthony Towns,11/15/1995
Malonka01,Karl Malone,7/24/1963
Leonaka01,Kawhi Leonard,6/29/1991
Feldeka01,Kay Felder,3/29/1995
Bateske01,Keita Bates-Diop,1/23/1996
Applike01,Keith Appling,2/13/1992
Bensoke02,Keith Benson,8/13/1988
Boganke01,Keith Bogans,5/12/1980
Azubuke01,Kelenna Azubuike,12/16/1983
Olynyke01,Kelly Olynyk,4/19/1991
Walkeke02,Kemba Walker,5/8/1990
Marshke01,Kendall Marshall,8/19/1991
Farieke01,Kenneth Faried,11/19/1989
Willike04,Kenrich Williams,12/2/1994
Bazemke01,Kent Bazemore,7/1/1989
Caldwke01,Kentavious Caldwell-Pope,2/18/1993
Martike01,Kenyon Martin,12/30/1977
Duranke01,Kevin Durant,9/29/1988
Garneke01,Kevin Garnett,5/19/1976
Huertke01,Kevin Huerter,8/27/1998
Joneske01,Kevin Jones,8/25/1989
Knoxke01,Kevin Knox,8/11/1999
Loveke01,Kevin Love,9/7/1988
Martike02,Kevin Martin,2/1/1983
Murphke01,Kevin Murphy,3/6/1990
Looneke01,Kevon Looney,2/6/1996
Doolike01,Keyon Dooling,5/8/1980
Birchkh01,Khem Birch,9/28/1992
Middlkh01,Khris Middleton,8/12/1991
Thomakh01,Khyri Thomas,5/8/1996
Engliki01,Kim English,9/24/1988
Hinriki01,Kirk Hinrich,1/2/1981
Thompkl01,Klay Thompson,2/8/1990
Bryanko01,Kobe Bryant,8/23/1978
Simmoko01,Kobi Simmons,7/4/1997
Koufoko01,Kosta Koufos,2/24/1989
Antetko01,Kostas Antetokounmpo,11/20/1997
Papanko01,Kostas Papanikolaou,7/31/1990
Dunnkr01,Kris Dunn,3/18/1994
Humphkr01,Kris Humphries,2/6/1985
Josepkr01,Kris Joseph,12/17/1988
Porzikr01,Kristaps Porzingis,8/2/1995
Thomaku01,Kurt Thomas,10/4/1972
Brownkw01,Kwame Brown,3/10/1982
Anderky01,Kyle Anderson,9/20/1993
Colliky01,Kyle Collinsworth,10/3/1991
Korveky01,Kyle Korver,3/17/1981
Kuzmaky01,Kyle Kuzma,7/24/1995
Lowryky01,Kyle Lowry,3/25/1986
Oquinky01,Kyle O'Quinn,3/26/1990
Singlky01,Kyle Singler,5/4/1988
Wiltjky01,Kyle Wiltjer,10/20/1992
Irvinky01,Kyrie Irving,3/23/1992
Fesenky01,Kyrylo Fesenko,12/24/1986
Pattela01,Lamar Patterson,8/12/1991
Aldrila01,LaMarcus Aldridge,7/19/1985
Stephla01,Lance Stephenson,9/5/1990
Thomala01,Lance Thomas,4/24/1988
Fieldla01,Landry Fields,6/27/1988
Shamela01,Landry Shamet,3/13/1997
Gallola01,Langston Galloway,12/9/1991
Sandela01,Larry Sanders,11/21/1988
Markkla01,Lauri Markkanen,5/22/1997
Haywala01,Lazar Hayward,11/26/1986
Barbole01,Leandro Barbosa,11/28/1982
Jamesle01,LeBron James,12/30/1984
Hudsole01,Lester Hudson,8/7/1984
Kleizli01,Linas Kleiza,1/3/1985
Perralo01,London Perrantes,10/3/1994
Balllo01,Lonzo Ball,10/27/1997
Brownlo01,Lorenzo Brown,8/26/1990
Noguelu01,Lucas Nogueira,7/26/1992
Datomlu01,Luigi Datome,11/27/1987
Montelu01,Luis Montero,4/6/1993
Scolalu01,Luis Scola,4/30/1980
Doncilu01,Luka Doncic,2/28/1999
Babbilu01,Luke Babbitt,6/20/1989
Haranlu01,Luke Harangody,1/2/1988
Kennalu01,Luke Kennard,6/24/1996
Kornelu01,Luke Kornet,7/15/1995
Ridnolu01,Luke Ridnour,2/13/1981
Waltolu01,Luke Walton,3/28/1980
Zellelu01,Luke Zeller,4/7/1987
